City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
162,Kushima,92,JP,1519146640,100,31.5,131.29,45.69,10.96
163,Hamilton,75,BM,1519142100,52,32.3,-64.78,69.8,16.11
164,Diffa,0,NE,1519146640,37,13.32,12.61,83.35,3.91
165,Camacupa,80,AO,1519146641,94,-12.02,17.48,65.58,1.9
166,Pisco,0,PE,1519142400,69,-13.71,-76.2,77,8.05
167,Iseyin,64,NG,1519146641,85,7.97,3.6,78.22,7.61
168,Talara,20,PE,1519142400,62,-4.58,-81.27,84.2,9.17
170,Port Hedland,0,AU,1519146677,82,-20.31,118.58,77.64,9.51
171,Bandarbeyla,0,SO,1519146677,100,9.49,50.81,75.25,8.72
172,Westport,64,IE,1519146678,89,53.8,-9.52,44.47,4.14
173,Cherskiy,68,RU,1519146679,67,68.75,161.3,-9.26,3.91
174,Qinzhou,92,CN,1519146679,98,21.96,108.62,66.12,3.58
175,Perth,0,GB,1519146680,92,56.4,-3.43,38.13,6.38
176,Saint-Philippe,90,CA,1519145700,100,45.36,-73.48,41,3.69
177,Shangzhi,32,CN,1519146681,65,45.21,127.96,-4.27,4.36
179,Adrar,0,DZ,1519146712,20,27.87,-0.29,67.15,2.01
180,Amapa,20,HN,1519146000,58,15.09,-87.97,86,5.82
181,Teahupoo,36,PF,1519146713,100,-17.83,-149.27,81.1,12.75
183,Itarema,44,BR,1519146744,94,-2.92,-39.92,81.64,8.16
184,Venezuela,0,CU,1519146745,66,21.74,-78.8,85.74,15.77
186,Santiago,20,CL,1519146000,34,-33.44,-70.65,78.8,5.82
187,Alpena,90,US,1519145700,100,45.06,-83.43,48.2,6.6
191,Alvaraes,75,BR,1519146000,84,-3.22,-64.8,87.8,5.82
192,Conde,0,BR,1519146880,62,-11.81,-37.61,87.49,9.17
194,Tranas,88,SE,1519146913,86,58.04,14.98,23.82,3.02
196,Podzvizd,92,HR,1519146944,94,45.18,15.86,29.58,3.36
197,Fort-Shevchenko,8,KZ,1519146945,100,44.51,50.26,26.97,7.49
198,Nadym,8,RU,1519146946,40,65.53,72.51,-25.73,3.13
199,Kanigoro,0,ID,1519146946,99,-8.13,112.22,78.54,6.26
200,Chara,92,GR,1519146947,98,39.42,22.43,42,2.57
202,San Luis,44,AR,1519146757,54,-33.3,-66.34,73.99,4.59
203,Tirschenreuth,90,DE,1519145760,86,49.88,12.34,30.2,6.82
204,Mlalo,0,TZ,1519146980,81,-4.58,38.35,69.85,1.9
205,Ikom,44,NG,1519146980,82,5.96,8.72,76.92,6.26
206,Maibong,0,IN,1519146980,84,25.3,93.13,51.36,1.57
207,Amurzet,0,CN,1519146981,21,47.69,131.09,-14.03,6.93
208,Hualmay,0,PE,1519146983,61,-11.1,-77.61,77.64,5.26
209,Visby,56,SE,1519146985,100,57.64,18.3,30.66,7.49
210,Mattru,24,SL,1519146985,72,7.62,-11.83,84.21,4.7
211,Yuryevets,88,RU,1519146986,88,57.32,43.11,17.43,8.16
212,Codrington,92,AU,1519146986,100,-28.95,153.24,65.58,5.7
213,Saint-Louis,92,CH,1519146796,90,47.59,7.56,30.84,3.24
214,Wamba,12,CD,1519146987,88,2.14,27.99,73.27,1.68
215,Farap,0,TM,1519146988,93,39.18,63.61,35.29,5.93
216,Araouane,8,ML,1519146988,28,18.9,-3.53,79.8,5.14
217,Batagay,64,RU,1519146989,44,67.65,134.64,-28.48,3.13
218,Chapleau,92,CA,1519146989,71,47.85,-83.4,17.29,6.26
219,Castro,88,CL,1519146990,75,-42.48,-73.76,61.62,4.14
220,Shetpe,8,KZ,1519146991,80,44.14,52.16,19.77,3.91
221,Ledyard,90,US,1519145700,100,41.44,-72.02,60.8,5.82
222,Jackson,75,US,1519145760,68,35.61,-88.82,73.4,23.04
223,Bani Walid,32,LY,1519146997,64,31.76,14,55.23,9.06
224,Banjar,88,ID,1519146998,99,-7.37,108.54,72.19,2.01
